Item ID,Item Name,SKU,UPC,MPN,EAN,ISBN,Is Returnable Item,Brand,Manufacturer,Description,Rate,Account,Account Code,Package Weight,Package Length,Package Width,Package Height,Dimension Unit,Weight Unit,Is Receivable Service,Taxable,Exemption Reason,Product Type,Source,Reference ID,Last Sync Time,Status,Usage unit,Unit Name,Purchase Rate,Purchase Account,Purchase Account Code,Purchase Description,Inventory Account,Inventory Account Code,Inventory Valuation Method,Reorder Point,Vendor,Opening Stock,Opening Stock Value,Stock On Hand,Item Type,Sellable,Purchasable,Track Inventory,TrackSerialNumber,Enable Bin Tracking,Is Combo Product,TAG.Inventory Type,TAG.Trade Shows 2025,CF.Inventory Type
6212012000000428665,EZ Kart - Throttle Cable,EZ3001,810075760644,,810075760644,,true,GeoRipper,MiniTrencher,,USD 70.00,GeoRipper - Parts,4100,0.50,8.00,8.00,1.00,in,lb,,true,,goods,2,,,Active,pcs,Pieces,USD 4.37,GeoRipper - Part,5100,,Finished Goods,1210,fifo,400.00,,,,312.00,Inventory,true,true,true,false,false,false,,,
6212012000000428678,EZ Kart Lower Throttle Housing,EZ6.1,,,,,true,GeoRipper,,,USD 13.18,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,,,,true,,goods,2,,,Active,EA,,USD 4.40,GeoRipper - Part,5100,,Finished Goods,1210,fifo,400.00,,,,41.00,Inventory,true,true,true,false,false,false,,,
6212012000000428691,EZ Kart Lower Throttle Lever,EZ6.2,,,,,true,GeoRipper,,,USD 13.18,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,,,,true,,goods,2,,,Active,EA,,USD 4.00,GeoRipper - Part,5100,,Finished Goods,1210,fifo,400.00,,,,776.00,Inventory,true,true,true,false,false,false,,,
6212012000000428718,EZ KART - Lower Throttle Housing Index,EZ6.3,,,,,true,GeoRipper,,,USD 8.39,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,in,lb,,true,,goods,2,,,Active,EA,,USD 2.52,GeoRipper - Part,5100,,Finished Goods,1210,fifo,400.00,Element 13 Precision,,,244.00,Inventory,true,true,true,false,false,false,,,
6212012000000428731,EZ Kart - Pull Strap Assembly,EZ6000,810075760620,,810075760620,,true,GeoRipper,MiniTrencher,"Includes nylon straps, metal tabs, D-slide & buckle",USD 25.00,GeoRipper - Parts,4100,0.90,9.00,6.00,3.00,in,lb,,true,,goods,2,,,Active,Kit,,USD 9.30,GeoRipper - Part,5100,,Finished Goods,1210,fifo,400.00,,,,595.00,Inventory,true,true,true,false,false,false,,,
6212012000000428744,Bar End Plate - Threaded,GR0.1,,,,,true,GeoRipper,MiniTrencher,,USD 18.93,GeoRipper - Parts,4100,0.29,3.75,0.75,0.375,in,lb,,true,,goods,2,,,Active,EA,,USD 7.00,GeoRipper - Part,5100,,Finished Goods,1210,fifo,1200.00,Ordinance Engineering Pte Ltd,,,444.00,Inventory,true,true,true,false,false,false,,,
6212012000000428757,Bar End Plate - Countersunk,GR0.2,,,,,true,GeoRipper,MiniTrencher,,USD 18.93,GeoRipper - Parts,4100,0.29,3.75,0.75,0.375,in,lb,,true,,goods,2,,,Active,EA,,USD 7.00,GeoRipper - Part,5100,,Finished Goods,1210,fifo,1200.00,Ordinance Engineering Pte Ltd,,,450.00,Inventory,true,true,true,false,false,false,,,
6212012000000428784,M8x1.25x20 Countersunk 5mm Hex Drive Bolt 12.9grade,GR0.3.2,,,,,true,GeoRipper,Vancouver Bolt,M8x1.25x20 Countersunk 5mm Hex Drive Bolt 12.9 grade,USD 0.72,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,in,lb,,true,,goods,2,,,Active,EA,,USD 0.31,GeoRipper - Part,5100,".8C20KFCZ
M8x1.25x20 Countersunk 5mm Hex Drive Bolt 12.9 grade",Finished Goods,1210,fifo,4000.00,Vancouver Bolt and Supply Inc.,,,1368.00,Inventory,true,true,true,false,false,false,,,
6212012000000428797,6 Tooth Nose Sprocket,GR1.1,,,,,true,GeoRipper,MiniTrencher,,USD 24.27,GeoRipper - Parts,4100,0.20,2.20,2.20,0.35,in,lb,,true,,goods,2,,,Active,EA,,USD 9.00,GeoRipper - Part,5100,,Finished Goods,1210,fifo,600.00,Ordinance Engineering Pte Ltd,,,179.00,Inventory,true,true,true,false,false,false,,,
6212012000000428810,Bearing (Sealed) 6002-RS2,GR1.2,,,,,true,GeoRipper,,Sealed Bearing 6002-RS2,USD 6.80,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,in,lb,,true,,goods,2,,,Active,pcs,Pieces,USD 3.30,GeoRipper - Part,5100,,Finished Goods,1210,fifo,600.00,,,,1429.00,Inventory,true,true,true,false,false,false,,,
6212012000000428823,11 Tooth Nose Sprocket,GR2.1,,,,,true,GeoRipper,MiniTrencher,,USD 24.27,GeoRipper - Parts,4100,0.20,2.20,2.20,0.35,in,lb,,true,,goods,2,,,Active,EA,,USD 9.00,GeoRipper - Part,5100,,Finished Goods,1210,fifo,600.00,Ordinance Engineering Pte Ltd,,,720.00,Inventory,true,true,true,false,false,false,,,
6212012000000428836,Right Digging Tooth 2020 Revision A (RAW),GR4.1M-20A,,,,,true,GeoRipper,,,USD 0.50,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,,,,true,,goods,2,,,Active,pcs,Pieces,USD 0.19,GeoRipper - Part,5100,"""B"" Tooth",Finished Goods,1210,fifo,,,,,0.00,Inventory,true,true,true,false,false,false,,,
6212012000000428849,Left Digging Tooth 2020 Revision A (RAW),GR4.2M-20A,,,,,true,GeoRipper,,,USD 0.50,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,,,,true,,goods,2,,,Active,pcs,Pieces,USD 0.19,GeoRipper - Part,5100,"""A"" Tooth",Finished Goods,1210,fifo,,,,,0.00,Inventory,true,true,true,false,false,false,,,
6212012000000428862,5-pitch Chain Segment,GR4.3,,,,,true,GeoRipper,,,USD 1.73,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,in,lb,,true,,goods,2,,,Active,pcs,Pieces,USD 0.90,GeoRipper - Part,5100,"Peer SKU 50HR X 5P RLEE
COO = China
15K Shipped Quarterly
",Finished Goods,1210,fifo,20000.00,,,,28280.00,Inventory,true,true,true,false,false,false,,,
6212012000000428875,3-pitch Chain Segment,GR4.3.3,,,,,true,GeoRipper,,,USD 1.73,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,,,,true,,goods,2,,,Active,pcs,Pieces,USD 0.47,GeoRipper - Part,5100,"PEER SKU 50HR X 3P RLEE
COO = China
5K Shipped Quarterly",Finished Goods,1210,fifo,,,,,20000.00,Inventory,true,true,true,false,false,false,,,
6212012000000428888,Rivet pin and backing plate,GR4.4,,,,,true,GeoRipper,,,USD 0.67,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,in,lb,,true,,goods,2,,,Active,pcs,Pieces,USD 0.62,GeoRipper - Part,5100,"PEER SKU: 50H SP R/L WITH EXTENDED PINS
COO = China
15K Shipped Quarterly",Finished Goods,1210,fifo,20000.00,,,,58468.00,Inventory,true,true,true,false,false,false,,,
6212012000000428901,Bar Clamp Washer - Slotted,GR5.2,,,,,true,GeoRipper,MiniTrencher,Washer only,USD 12.59,GeoRipper - Parts,4100,0.25,2.75,1.18,0.25,in,lb,,true,,goods,2,,,Active,EA,,USD 3.09,GeoRipper - Part,5100,,Finished Goods,1210,fifo,600.00,Northwest Technologies,,,97.00,Inventory,true,true,true,false,false,false,,,
6212012000000428914,Chain Tension Block,GR8.1-21A,,,,,true,GeoRipper,,,USD 45.20,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,,,,true,,goods,2,,,Active,pcs,Pieces,USD 6.80,GeoRipper - Part,5100,"S375 Steel, Black Zinc Plating",Finished Goods,1210,fifo,750.00,Ordinance Engineering Pte Ltd,,,176.00,Inventory,true,true,true,false,false,false,,,
6212012000000428927,Flange 6 Series,GRKM61.2-20A,,,,,true,GeoRipper,,,USD 12.11,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,,,,true,,goods,2,,,Active,EA,,USD 4.50,GeoRipper - Part,5100,Machined and Clear Zinc Plated,Finished Goods,1210,fifo,0.00,Ordinance Engineering Pte Ltd,,,128.00,Inventory,true,true,true,false,false,false,,,
6212012000000428940,Labyrinth 6 Series,GRKM61.3-20A,,,,,true,GeoRipper,,,USD 8.00,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,,,,true,,goods,2,,,Active,EA,,USD 3.00,GeoRipper - Part,5100,,Finished Goods,1210,fifo,0.00,Ordinance Engineering Pte Ltd,,,243.00,Inventory,true,true,true,false,false,false,,,
6212012000000428953,Clamp A - 6 Series,GRKM61.4,,,,,true,GeoRipper,,Clamp Plate Under Belt Cover,USD 9.33,GeoRipper - Parts,4100,0.00,0.00,0.00,0.00,,,,true,,goods,2,,,Active,pcs,Pieces,USD 3.39,GeoRipper - Part,5100,"NWT: Quote 29551
LASER, ZINC PLATE",Finished Goods,1210,fifo,0.00,Northwest Technologies,,,83.00,Inventory,true,true,true,false,false,false,,,
